unique_id,position_title,department,base_salary,gender,employment_status,hire_date,job_date
10,ASSISTANT DIRECTOR (EX LVL),Municipal Courts Department,121862,Female,Active,2006-06-12,2012-10-13
20,LIBRARY ASSISTANT,Library,26125,Female,Active,2000-07-19,2010-09-18
30,POLICE OFFICER,Houston Police Department-HPD,45279,Male,Active,2015-02-03,2015-02-03
40,ENGINEER/OPERATOR,Houston Fire Department (HFD),63166,Male,Active,1982-02-08,1991-05-25
50,ELECTRICIAN,General Services Department,56347,Male,Active,1989-06-19,1994-10-22
60,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Male,Active,1984-11-26,2005-03-26
70,ENGINEER,Public Works & Engineering-PWE,71680,Male,Active,2012-03-26,2012-03-26
80,CARPENTER,Houston Airport System (HAS),42390,Male,Active,2013-11-04,2013-11-04
90,DEPUTY ASSISTANT DIRECTOR (EXECUTIVE LEV,Public Works & Engineering-PWE,107962,Male,Active,1993-11-15,2013-01-05
100,AIRPORT OPERATIONS COORDINATOR,Houston Airport System (HAS),44616,Male,Active,2016-03-14,2016-03-14
110,FIRE FIGHTER,Houston Fire Department (HFD),52644,Male,Active,2007-05-21,2008-11-15
120,"CHIEF PHYSICIAN,MD",Health & Human Services,180416,Male,Active,1987-05-22,1999-08-28
130,CUSTOMER SERVICE REPRESENTATIVE I,Public Works & Engineering-PWE,30347,Male,Active,2015-11-16,2015-11-16
140,PUBLIC HEALTH INVESTIGATOR SUPERVISOR,Health & Human Services,55269,Male,Active,1999-10-20,2001-05-19
150,POLICE SERGEANT,Houston Police Department-HPD,77076,Male,Active,2001-06-04,2015-05-25
160,SENIOR POLICE OFFICER,Houston Police Department-HPD,,Male,Active,1995-01-30,2015-02-14
170,SENIOR POLICE OFFICER,Houston Police Department-HPD,,Male,Active,1981-02-23,2002-01-05
180,POLICE SERGEANT,Houston Police Department-HPD,81239,Male,Active,1995-06-19,2007-03-03
190,MAINTENANCE MECHANIC III,General Services Department,40581,Male,Active,2008-12-29,2008-12-29
200,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Male,Active,1992-02-17,2007-07-28
210,SENIOR INSPECTOR,Public Works & Engineering-PWE,61506,Male,Active,2009-04-06,2015-04-11
220,FIRE FIGHTER,Houston Fire Department (HFD),57815,Male,Active,2001-03-20,2003-01-04
230,INSPECTOR,Public Works & Engineering-PWE,43264,Male,Active,2015-01-05,2015-01-05
240,FIRE FIGHTER,Houston Fire Department (HFD),55437,Male,Active,2004-03-15,2005-03-26
250,POLICE OFFICER,Houston Police Department-HPD,52514,Male,Active,2010-03-29,2011-03-29
260,SENIOR POLICE OFFICER,Houston Police Department-HPD,61643,Male,Active,1999-08-23,2012-03-31
270,SENIOR POLICE OFFICER,Houston Police Department-HPD,,Male,Active,1979-11-19,2015-12-19
280,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Male,Active,1990-01-12,2004-07-03
290,POLICE SERGEANT,Houston Police Department-HPD,81239,Male,Active,1978-03-13,1994-09-10
300,UTILITY WORKER,Public Works & Engineering-PWE,29557,Male,Active,2014-01-21,2014-01-21
310,ENGINEER/OPERATOR,Houston Fire Department (HFD),62540,Male,Active,2004-03-15,2010-08-11
320,FIRE FIGHTER TRAINEE,Houston Fire Department (HFD),28024,Male,Active,2016-03-14,2016-03-14
330,SENIOR ACCOUNTANT,Finance,46963,Male,Active,1991-02-11,2016-02-13
340,ENGINEER/OPERATOR,Houston Fire Department (HFD),61921,Male,Active,2007-05-21,2015-03-24
350,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Male,Active,1990-01-22,2005-02-26
360,DENTAL ASSISTANT,Health & Human Services,34923,Female,Active,1982-04-05,1990-11-03
370,SENIOR INSPECTOR,Public Works & Engineering-PWE,60258,Female,Active,2004-08-03,2007-03-10
380,ASSISTANT SHOP MANAGER,Fleet Management Department,51438,Male,Active,1995-11-30,2016-03-12
390,SENIOR MICROCOMPUTER ANALYST,Health & Human Services,67499,Female,Active,1994-06-29,1997-08-30
400,INVENTORY MANAGEMENT SUPERVISOR,Public Works & Engineering-PWE,38168,Male,Active,2008-09-08,2015-04-11
410,FIRE FIGHTER,Houston Fire Department (HFD),43528,Male,Active,2014-06-21,2015-09-21
420,FIRE FIGHTER,Houston Fire Department (HFD),48190,Male,Active,2011-08-22,2012-11-22
430,FIRE FIGHTER,Houston Fire Department (HFD),48190,Male,Active,2012-06-25,2013-09-25
440,ASSOCIATE EMS PHYSICIAN DIRECTOR,Houston Fire Department (HFD),165216,Male,Active,2013-08-31,2013-08-31
450,POLICE OFFICER,Houston Police Department-HPD,45279,Male,Active,2014-02-03,2015-02-03
460,SENIOR POLICE OFFICER,Houston Police Department-HPD,66614,Male,Active,1981-09-21,2002-04-27
470,FIELD SUPERVISOR,Public Works & Engineering-PWE,43597,Male,Active,2008-06-30,2013-05-25
480,CUSTOMER SERVICE SUPERVISOR,Public Works & Engineering-PWE,43618,Female,Active,2007-12-15,2015-11-07
490,ENGINEER/OPERATOR,Houston Fire Department (HFD),62540,Male,Active,2002-10-22,2008-02-07
500,CAPTAIN,Houston Fire Department (HFD),66523,Male,Active,2003-05-27,2013-03-17
510,ENGINEER/OPERATOR,Houston Fire Department (HFD),61921,Male,Active,2007-10-08,2014-04-05
520,POLICE SERGEANT,Houston Police Department-HPD,81239,Male,Active,1983-09-12,1998-11-28
530,FIRE FIGHTER,Houston Fire Department (HFD),55437,Male,Active,2003-03-24,2004-04-10
540,DIVISION MANAGER,Houston Airport System (HAS),86297,Male,Active,1992-12-14,2014-06-07
550,ENGINEER/OPERATOR,Houston Fire Department (HFD),63166,Male,Active,1982-06-28,1991-05-25
560,ADMINISTRATIVE ASSOCIATE,Houston Police Department-HPD,34757,Female,Active,2005-05-11,2008-05-17
570,ELECTRICIAN,Public Works & Engineering-PWE,49483,Male,Active,2005-05-16,2005-05-16
580,SEMI-SKILLED LABORER,Solid Waste Management,27622,Male,Active,2015-08-31,2015-08-31
590,EQUIPMENT OPERATOR III,Houston Airport System (HAS),40144,Male,Active,2009-05-26,2009-05-26
600,LABORER,Houston Airport System (HAS),28163,Male,Active,2013-08-19,2013-08-19
610,EQUIPMENT WORKER,Public Works & Engineering-PWE,30992,Male,Active,2013-10-14,2015-07-04
